model,accuracy,precision,recall,f1,auc,cv_mean_auc,cv_std_auc
RandomForest,0.9594594594594594,0.9848993288590604,0.9332273449920508,0.9583673469387755,0.9945228123475576,0.9492230105901379,0.028736598197529425
SVM,0.9141494435612083,0.9168,0.9109697933227345,0.9138755980861244,0.9668626355711365,0.9117015742975804,0.0375201930473325
XGBoost,0.9912559618441972,0.9983870967741936,0.9841017488076311,0.9911929543634908,0.999595592974439,0.9496005331642813,0.03344644552173826
ANN,0.9705882352941176,0.9625,0.9793322734499205,0.970843183609141,0.9943104986591379,0.0,0.0
Transformer,0.9737678855325914,0.9745222929936306,0.972972972972973,0.9737470167064439,0.9959205441296529,0.0,0.0
